company,recruit_url,recruit_status,recruit_title,recruit_summary,ir_url,ir_title,ir_summary
キーエンス,https://www.keyence.co.jp/jobs/,確認済み,新卒採用情報,公式採用サイトで新卒採用情報と職種情報を確認,https://www.keyence.co.jp/company/ir/library/annualreport/,アニュアルレポート,IRライブラリで業績と事業情報を確認
ファナック,https://www.fanuc.co.jp/ja/recruit/index.html,要確認,採用情報,公式採用サイトで新卒採用導線を確認,https://www.fanuc.co.jp/ja/ir/annualreport/index.html,アニュアルレポート,IR資料でFAとロボット事業の状況を確認
小松製作所,https://www.komatsu.jp/ja/recruit/newgrads,要確認,新卒採用情報,公式新卒採用サイトで募集職種と選考情報を確認,https://www.komatsu.jp/ja/ir/library/annual,統合報告書,統合報告書で建機事業と人的資本情報を確認
クボタ,https://www.kubota.co.jp/recruit/newgraduates/,要確認,新卒採用情報,公式新卒採用サイトで募集職種と事業情報を確認,https://www.kubota.co.jp/ir/financial/integrated/,統合報告書,統合報告書で農機と水環境事業の戦略を確認
ソニーグループ,https://www.recruit.sony.co.jp/2028/,確認済み,2028年度新卒採用情報,公式2028年度新卒採用サイトを確認,https://www.sony.com/ja/SonyInfo/IR/library/presen/annual_report/,統合報告書,統合報告書でエンタメと半導体を含む事業戦略を確認
パナソニックグループ,https://recruit.jpn.panasonic.com/newgrads/,要確認,新卒採用情報,公式新卒採用サイトで募集職種と選考情報を確認,https://holdings.panasonic/jp/corporate/investors/library/annual-report.html,統合報告書,統合報告書で事業ポートフォリオと人的資本情報を確認
三菱電機,https://www.mitsubishielectric.co.jp/saiyo/graduates/,要確認,新卒採用情報,公式新卒採用サイトで募集職種と選考情報を確認,https://www.mitsubishielectric.co.jp/ir/library/annual_report/,統合報告書,統合報告書でFAと社会インフラ事業を確認
東芝,https://www.global.toshiba/jp/recruit/corporate/newgraduates.html,要確認,新卒採用情報,公式新卒採用サイトで募集職種を確認,https://www.global.toshiba/jp/ir/corporate/library/annual.html,統合報告書,統合報告書で事業再編と人材情報を確認
シャープ,https://corporate.jp.sharp/recruit/newgraduate/,要確認,新卒採用情報,公式新卒採用サイトで募集職種を確認,https://corporate.jp.sharp/ir/library/annual/,統合報告書,IRライブラリで財務と事業情報を確認
キヤノン,https://global.canon/ja/employ/new-graduate/,要確認,新卒採用情報,公式新卒採用サイトで職種と募集要項を確認,https://global.canon/ja/ir/library/annual.html,統合報告書,統合報告書で事業戦略と財務情報を確認
リコー,https://jp.ricoh.com/jobs/new-graduate,要確認,新卒採用情報,公式新卒採用サイトで募集職種を確認,https://jp.ricoh.com/IR/library/annual_report,統合報告書,統合報告書でオフィスサービス事業と人的資本情報を確認
