company,recruit_url,recruit_status,recruit_title,recruit_summary,ir_url,ir_title,ir_summary
SCSK,https://www.scsk.jp/recruit/newgraduate/,要確認,新卒採用情報,公式新卒採用サイトで募集職種と選考情報を確認,https://www.scsk.jp/ir/library/annual.html,統合報告書,統合報告書でSI事業と人的資本情報を確認
TIS,https://www.tis.co.jp/recruit/graduate/,要確認,新卒採用情報,公式新卒採用サイトで募集職種と選考情報を確認,https://www.tis.co.jp/ir/library/annual_report/,統合報告書,統合報告書で決済とITサービス事業を確認
BIPROGY,https://www.biprogy.com/recruit/newgraduate/,要確認,新卒採用情報,公式新卒採用サイトで募集職種を確認,https://www.biprogy.com/ir/library/annual_report.html,統合報告書,統合報告書で社会基盤ITと人的資本情報を確認
伊藤忠テクノソリューションズ,https://www.ctc-g.co.jp/recruit/newgraduate/,要確認,新卒採用情報,公式新卒採用サイトで募集職種を確認,https://www.ctc-g.co.jp/company/ir/library/annual/,統合報告書,統合報告書でクラウドとITインフラ事業を確認
日本IBM,https://www.ibm.com/jp-ja/careers/entry-level,要確認,新卒/学生向け採用情報,公式採用サイトで学生向け募集情報を確認,https://www.ibm.com/annualreport/,Annual Report,グローバル年次報告で事業と技術戦略を確認
日本マイクロソフト,https://careers.microsoft.com/students/us/en/japan,要確認,学生向け採用情報,公式採用サイトで学生向け募集情報を確認,https://www.microsoft.com/investor/reports/ar25/,Annual Report 2025,グローバル年次報告でクラウドとAI事業を確認
オービック,https://www.obic.co.jp/recruit/,要確認,新卒採用情報,公式採用サイトで募集職種を確認,https://www.obic.co.jp/ir/library/annualreport.html,統合報告書,統合報告書でERP事業と高収益性を確認
GMOインターネットグループ,https://www.gmo.jp/recruit/,要確認,採用情報,公式採用サイトで募集情報を確認,https://ir.gmo.jp/library/annual/,統合報告書,統合報告書でインターネットインフラと金融事業を確認
日本総合研究所,https://www.jri.co.jp/recruit/,要確認,採用情報,公式採用サイトでコンサルとIT職種を確認,https://www.smfg.co.jp/investor/library/annual/,SMFG統合報告書,グループ統合報告書で金融ITとシンクタンク機能を補完
三菱UFJリサーチ&コンサルティング,https://www.murc.jp/recruit/,要確認,採用情報,公式採用サイトで研究員とコンサル職を確認,https://www.mufg.jp/ir/report/disclosure/,MUFG統合報告書/開示資料,グループ開示資料で事業基盤を補完
三菱総合研究所,https://www.mri.co.jp/recruit/,要確認,採用情報,公式採用サイトで研究員とコンサル職を確認,https://www.mri.co.jp/ir/library/annualreport/,統合報告書,統合報告書で政策研究とDX事業を確認
ドリームインキュベータ,https://www.dreamincubator.co.jp/recruit/,要確認,採用情報,公式採用サイトで戦略コンサルと事業創造職を確認,https://www.dreamincubator.co.jp/ir/library/,IRライブラリ,IR資料で事業創造と投資領域を確認
りそな銀行,https://www.resona-gr.co.jp/holdings/recruit/newgraduate/,要確認,新卒採用情報,公式新卒採用サイトで募集職種を確認,https://www.resona-gr.co.jp/holdings/investors/ir/disclosure/,統合報告書/ディスクロージャー誌,開示資料で銀行事業と人的資本情報を確認
ゆうちょ銀行,https://www.jp-bank.japanpost.jp/recruit/newgraduate/,要確認,新卒採用情報,公式新卒採用サイトで募集情報を確認,https://www.jp-bank.japanpost.jp/ir/financial/annualreport/,統合報告書,統合報告書で銀行事業と公共性を確認
かんぽ生命保険,https://www.jp-life.japanpost.jp/recruit/newgraduate/,要確認,新卒採用情報,公式新卒採用サイトで募集情報を確認,https://www.jp-life.japanpost.jp/IR/library/disclosure/,統合報告書/ディスクロージャー誌,開示資料で生命保険事業と財務情報を確認
明治安田生命保険,https://www.meijiyasuda-saiyo.com/,要確認,新卒採用情報,公式新卒採用サイトで募集職種を確認,https://www.meijiyasuda.co.jp/profile/corporate_info/disclosure/,ディスクロージャー誌,相互会社の開示資料で経営情報と人的資本を確認
住友生命保険,https://www.sumitomolife.co.jp/about/employ/saiyo/,要確認,新卒採用情報,公式採用サイトで募集職種を確認,https://www.sumitomolife.co.jp/about/company/disclosure/,ディスクロージャー誌,開示資料で生命保険事業と経営情報を確認
オリックス,https://www.orix.co.jp/recruit/newgraduate/,要確認,新卒採用情報,公式新卒採用サイトで募集職種を確認,https://www.orix.co.jp/grp/company/ir/library/annual_report/,統合報告書,統合報告書で金融サービスと事業投資を確認
三井住友カード,https://www.smbc-card.com/company/recruit/newgraduate/,要確認,新卒採用情報,公式新卒採用サイトで募集職種を確認,https://www.smfg.co.jp/investor/library/annual/,SMFG統合報告書,グループ開示資料で決済事業と人的資本情報を補完
日本政策投資銀行,https://www.dbj.jp/recruit/newgraduate/,要確認,新卒採用情報,公式新卒採用サイトで募集職種を確認,https://www.dbj.jp/ir/library/annual/,統合報告書,統合報告書で投融資と社会インフラ支援を確認
